Website: http://www.facebook.com

 given word		Word Count
+------------------+--------------+
        facebook            7
             log            3
            sign            6
            jump            1
        sections            1
            page            3
   accessibility            1
            help            2
           press            1
             opt            2
            menu            1
           email            1
           phone            1
        password            1
          forgot            1
         account            1
         connect            1
         friends            3
           world            1
          photos            1
         updates            1
            news            1
            feed            1
           share            1
          what's            1
            life            1
        timeline            1
          you're            1
         looking            1
          search            1
            it’s            1
            free            1
      javascript            2
        disabled            1
         browser            3
          please            2
          enable            1
         upgrade            1
javascript-capable            1
        register            1
           error            1
        occurred            1
             try            1
        birthday            2
monthjanfebmaraprmayjunjulaugsepoctnovdecday12345678910111213141516171819202122232425262728293031year201820172016201520142013201220112010200920082007200620052004200320022001200019991998199719961995199419931992199119901989198819871986198519841983198219811980197919781977197619751974197319721971197019691968196719661965196419631962196119601959195819571956195519541953195219511950194919481947194619451944194319421941194019391938193719361935193419331932193119301929192819271926192519241923192219211920191919181917191619151914191319121911191019091908190719061905why            1
         provide            1
      femalemale            1
        clicking            1
           agree            1
           terms            2
            data            1
          policy            2
         cookies            2
         receive            1
             sms            1
   notifications            1
            time            1
        security            3
           check            2
           field            1
        required            1
              am            1
          seeing            1
        standard            1
            test            1
         prevent            1
        spammers            1
        creating            1
            fake            1
        accounts            1
        spamming            1
           users            1
          create            3
       celebrity            1
            band            1
        business            1
          france            1
          हिन्दी            1
       messenger            1
            lite            1
          mobile            1
          people            1
           pages            1
           video            1
           games            1
       locations            1
     marketplace            1
       instagram            1
           local            1
              ad            2
      developers            1
         careers            1
         privacy            1
         choices            1
        settings            1
        activity            1
            2018            1
